Date,Day,Weekend,Public_Holiday,Weather,Time_Slot,Product,Total_Quantity_Prepared,Quantity_Sold,Selling_Price,Revenue,Estimated_Cost,Profit,Payment_Mode,Platform,Net_Profit_Loss
11-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Misal Pav,18,16,40,640,480,160,Cash,Offline,120
11-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Vada Pav,13,11,15,165,120,45,Cash,Offline,5
11-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Bhaji Pav,11,9,15,135,97,38,Online,Swiggy,-2
11-08-2024,Sunday,Yes,No,Cloudy,8AM - 2PM,Pattice,10,9,15,135,100,35,Online,Swiggy,-5
11-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Chai,18,15,6,90,50,41,Cash,Offline,1
11-08-2024,Sunday,Yes,No,Cloudy,8AM - 2PM,Bhaji Plate,10,8,20,160,112,48,Online,Swiggy,8
11-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Vada Misal,7,6,50,300,228,72,Cash,Offline,32
11-08-2024,Sunday,Yes,No,Cloudy,8AM - 2PM,Usal Pav,16,14,35,490,363,127,Cash,Offline,87
11-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,ButterMilk,1,0,15,0,0,0,Cash,Offline,-40
12-08-2024,Monday,No,No,Rainy,8AM - 2PM,Pohe,11,7,20,140,203,-63,Cash,Offline,-103
12-08-2024,Monday,No,No,Sunny,8AM - 2PM,Tarri Pohe,7,4,30,120,159,-39,Cash,Offline,-79
12-08-2024,Monday,No,No,Rainy,8AM - 2PM,Misal Pav,3,2,40,80,97,-17,OnlinePaytm,Offline,-57
12-08-2024,Monday,No,No,Rainy,8AM - 2PM,Vada Pav,13,9,15,135,174,-39,OnlinePaytm,Offline,-79
12-08-2024,Monday,No,No,Cloudy,8AM - 2PM,Bhaji Pav,5,3,15,45,56,-11,OnlinePaytm,Offline,-51
12-08-2024,Monday,No,No,Sunny,8AM - 2PM,Pattice,4,2,15,30,30,0,Cash,Offline,-40
12-08-2024,Monday,No,No,Rainy,8AM - 2PM,Chai,11,6,6,36,36,0,OnlinePaytm,Offline,-40
12-08-2024,Monday,No,No,Sunny,8AM - 2PM,Bhaji Plate,2,1,20,20,20,0,OnlinePaytm,Offline,-40
12-08-2024,Monday,No,No,Cloudy,8AM - 2PM,Vada Misal,4,2,50,100,100,0,OnlinePaytm,Offline,-40
12-08-2024,Monday,No,No,Cloudy,8AM - 2PM,Usal Pav,6,4,35,140,140,0,Cash,Offline,-40
12-08-2024,Monday,No,No,Rainy,8AM - 2PM,ButterMilk,5,3,15,45,63,-18,OnlinePaytm,Offline,-58
13-08-2024,Tuesday,No,No,Rainy,8AM - 2PM,Pohe,9,6,20,120,120,0,Cash,Offline,-40
13-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,Tarri Pohe,7,4,30,120,160,-40,OnlinePaytm,Offline,-80
13-08-2024,Tuesday,No,No,Cloudy,8AM - 2PM,Misal Pav,6,4,40,160,238,-78,Cash,Offline,-118
13-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,Vada Pav,7,5,15,75,110,-35,Online,Zomato,-75
13-08-2024,Tuesday,No,No,Rainy,8AM - 2PM,Bhaji Pav,3,2,15,30,30,0,OnlinePaytm,Offline,-40
13-08-2024,Tuesday,No,No,Rainy,8AM - 2PM,Pattice,3,2,15,30,30,0,Online,Zomato,-40
13-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,Chai,7,5,6,30,44,-14,OnlinePaytm,Offline,-54
13-08-2024,Tuesday,No,No,Rainy,8AM - 2PM,Bhaji Plate,2,1,20,20,25,-5,Cash,Offline,-45
13-08-2024,Tuesday,No,No,Rainy,8AM - 2PM,Vada Misal,5,3,50,150,183,-33,Online,Swiggy,-73
13-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,Usal Pav,6,4,35,140,177,-37,Cash,Offline,-77
13-08-2024,Tuesday,No,No,Rainy,8AM - 2PM,ButterMilk,2,1,15,15,21,-6,OnlinePaytm,Offline,-46
14-08-2024,Wednesday,No,No,Cloudy,8AM - 2PM,Pohe,8,5,20,100,100,0,Online,Zomato,-40
14-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Tarri Pohe,8,5,30,150,150,0,OnlinePaytm,Offline,-40
14-08-2024,Wednesday,No,No,Cloudy,8AM - 2PM,Misal Pav,4,2,40,80,101,-21,Online,Swiggy,-61
14-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Vada Pav,12,8,15,120,120,0,OnlinePaytm,Offline,-40
14-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Bhaji Pav,3,2,15,30,42,-12,OnlinePaytm,Offline,-52
14-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Pattice,4,2,15,30,30,0,OnlinePaytm,Offline,-40
14-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Chai,6,4,6,24,30,-6,OnlinePaytm,Offline,-46
14-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Bhaji Plate,3,2,20,40,50,-10,Online,Swiggy,-50
14-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Vada Misal,3,2,50,100,138,-38,OnlinePaytm,Offline,-78
14-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Usal Pav,4,2,35,70,70,0,Cash,Offline,-40
14-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,ButterMilk,2,1,15,15,20,-5,Cash,Offline,-45
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Pohe,10,9,20,180,126,54,Cash,Offline,14
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Tarri Pohe,12,11,30,330,238,92,Cash,Offline,52
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Misal Pav,11,10,40,400,300,100,Online,Swiggy,60
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Vada Pav,22,19,15,285,208,77,Online,Swiggy,37
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Bhaji Pav,9,8,15,120,86,34,Online,Zomato,-6
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Pattice,7,6,15,90,67,23,Online,Swiggy,-17
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Chai,15,14,6,84,46,38,OnlinePaytm,Offline,-2
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Bhaji Plate,6,5,20,100,70,30,OnlinePaytm,Offline,-10
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Vada Misal,10,9,50,450,342,108,Cash,Offline,68
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,Usal Pav,12,10,35,350,259,91,Online,Swiggy,51
15-08-2024,Thursday,No,Yes,Sunny,8AM - 2PM,ButterMilk,5,4,15,60,36,24,Cash,Offline,-16
16-08-2024,Friday,No,No,Rainy,8AM - 2PM,Pohe,9,6,20,120,161,-41,Cash,Offline,-81
16-08-2024,Friday,No,No,Cloudy,8AM - 2PM,Tarri Pohe,6,4,30,120,120,0,Cash,Offline,-40
16-08-2024,Friday,No,No,Sunny,8AM - 2PM,Misal Pav,5,3,40,120,120,0,Online,Swiggy,-40
16-08-2024,Friday,No,No,Cloudy,8AM - 2PM,Vada Pav,12,8,15,120,155,-35,Online,Swiggy,-75
16-08-2024,Friday,No,No,Rainy,8AM - 2PM,Bhaji Pav,3,2,15,30,36,-6,Cash,Offline,-46
16-08-2024,Friday,No,No,Sunny,8AM - 2PM,Pattice,5,3,15,45,56,-11,Online,Zomato,-51
16-08-2024,Friday,No,No,Sunny,8AM - 2PM,Chai,16,10,6,60,88,-28,Cash,Offline,-68
16-08-2024,Friday,No,No,Rainy,8AM - 2PM,Bhaji Plate,6,4,20,80,117,-37,Cash,Offline,-77
16-08-2024,Friday,No,No,Rainy,8AM - 2PM,Vada Misal,2,1,50,50,65,-15,Cash,Offline,-55
16-08-2024,Friday,No,No,Cloudy,8AM - 2PM,Usal Pav,4,3,35,105,127,-22,Cash,Offline,-62
16-08-2024,Friday,No,No,Cloudy,8AM - 2PM,ButterMilk,2,1,15,15,15,0,Cash,Offline,-40
17-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Pohe,9,8,20,160,112,48,Cash,Offline,8
17-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Tarri Pohe,11,10,30,300,216,84,Cash,Offline,44
17-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Misal Pav,6,5,40,200,150,50,Online,Swiggy,10
17-08-2024,Saturday,Yes,No,Cloudy,8AM - 2PM,Vada Pav,18,15,15,225,164,61,Online,Swiggy,21
17-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Bhaji Pav,12,11,15,165,119,46,Online,Swiggy,6
17-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Pattice,13,11,15,165,122,43,Cash,Offline,3
17-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Chai,23,21,6,126,69,57,Cash,Offline,17
17-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Bhaji Plate,8,7,20,140,98,42,Cash,Offline,2
17-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Vada Misal,10,9,50,450,342,108,Online,Zomato,68
17-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Usal Pav,16,14,35,490,363,127,Cash,Offline,87
17-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,ButterMilk,1,0,15,0,0,0,Cash,Offline,-40
18-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Pohe,17,15,20,300,210,90,Cash,Offline,50
18-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Tarri Pohe,20,18,30,540,389,151,Online,Swiggy,111
18-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Misal Pav,14,13,40,520,390,130,Cash,Offline,90
18-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Vada Pav,9,8,15,120,88,32,Cash,Offline,-8
18-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Bhaji Pav,10,9,15,135,97,38,Online,Swiggy,-2
18-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Pattice,8,7,15,105,78,27,Cash,Offline,-13
18-08-2024,Sunday,Yes,No,Cloudy,8AM - 2PM,Chai,18,16,6,96,53,43,Cash,Offline,3
18-08-2024,Sunday,Yes,No,Cloudy,8AM - 2PM,Bhaji Plate,6,5,20,100,70,30,Cash,Offline,-10
18-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Vada Misal,10,9,50,450,342,108,Cash,Offline,68
18-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Usal Pav,12,11,35,385,285,100,OnlinePaytm,Offline,60
18-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,ButterMilk,16,14,15,210,126,84,Cash,Offline,44
19-08-2024,Monday,No,No,Sunny,8AM - 2PM,Pohe,16,9,20,180,234,-54,Online,Zomato,-94
19-08-2024,Monday,No,No,Cloudy,8AM - 2PM,Tarri Pohe,9,6,30,180,240,-60,Cash,Offline,-100
19-08-2024,Monday,No,No,Cloudy,8AM - 2PM,Misal Pav,6,4,40,160,228,-68,Cash,Offline,-108
19-08-2024,Monday,No,No,Cloudy,8AM - 2PM,Vada Pav,10,6,15,90,131,-41,Cash,Offline,-81
19-08-2024,Monday,No,No,Rainy,8AM - 2PM,Bhaji Pav,6,4,15,60,84,-24,OnlinePaytm,Offline,-64
19-08-2024,Monday,No,No,Rainy,8AM - 2PM,Pattice,5,3,15,45,62,-17,OnlinePaytm,Offline,-57
19-08-2024,Monday,No,No,Rainy,8AM - 2PM,Chai,12,8,6,48,59,-11,Online,Zomato,-51
19-08-2024,Monday,No,No,Sunny,8AM - 2PM,Bhaji Plate,10,6,20,120,176,-56,Cash,Offline,-96
19-08-2024,Monday,No,No,Cloudy,8AM - 2PM,Vada Misal,2,1,50,50,50,0,Cash,Offline,-40
19-08-2024,Monday,No,No,Sunny,8AM - 2PM,Usal Pav,5,3,35,105,105,0,Online,Zomato,-40
19-08-2024,Monday,No,No,Rainy,8AM - 2PM,ButterMilk,6,4,15,60,81,-21,Online,Zomato,-61
20-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,Pohe,11,8,20,160,195,-35,Cash,Offline,-75
20-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,Tarri Pohe,11,7,30,210,287,-77,Online,Swiggy,-117
20-08-2024,Tuesday,No,No,Cloudy,8AM - 2PM,Misal Pav,7,4,40,160,233,-73,OnlinePaytm,Offline,-113
20-08-2024,Tuesday,No,No,Cloudy,8AM - 2PM,Vada Pav,8,5,15,75,105,-30,Online,Swiggy,-70
20-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,Bhaji Pav,3,2,15,30,37,-7,Cash,Offline,-47
20-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,Pattice,5,3,15,45,60,-15,OnlinePaytm,Offline,-55
20-08-2024,Tuesday,No,No,Rainy,8AM - 2PM,Chai,12,7,6,42,55,-13,OnlinePaytm,Offline,-53
20-08-2024,Tuesday,No,No,Cloudy,8AM - 2PM,Bhaji Plate,5,3,20,60,82,-22,Cash,Offline,-62
20-08-2024,Tuesday,No,No,Rainy,8AM - 2PM,Vada Misal,4,2,50,100,131,-31,Cash,Offline,-71
20-08-2024,Tuesday,No,No,Cloudy,8AM - 2PM,Usal Pav,8,5,35,175,213,-38,OnlinePaytm,Offline,-78
20-08-2024,Tuesday,No,No,Sunny,8AM - 2PM,ButterMilk,9,5,15,75,112,-37,Cash,Offline,-77
21-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Pohe,13,8,20,160,207,-47,OnlinePaytm,Offline,-87
21-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Tarri Pohe,6,4,30,120,158,-38,Cash,Offline,-78
21-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Misal Pav,5,3,40,120,165,-45,OnlinePaytm,Offline,-85
21-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Vada Pav,9,6,15,90,90,0,Online,Swiggy,-40
21-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Bhaji Pav,2,1,15,15,15,0,Cash,Offline,-40
21-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Pattice,2,1,15,15,20,-5,Online,Swiggy,-45
21-08-2024,Wednesday,No,No,Cloudy,8AM - 2PM,Chai,6,4,6,24,34,-10,Online,Swiggy,-50
21-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Bhaji Plate,3,2,20,40,60,-20,Cash,Offline,-60
21-08-2024,Wednesday,No,No,Cloudy,8AM - 2PM,Vada Misal,3,2,50,100,121,-21,Online,Zomato,-61
21-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Usal Pav,6,4,35,140,187,-47,OnlinePaytm,Offline,-87
21-08-2024,Wednesday,No,No,Cloudy,8AM - 2PM,ButterMilk,2,1,15,15,15,0,OnlinePaytm,Offline,-40
22-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Pohe,10,6,20,120,173,-53,Online,Swiggy,-93
22-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Tarri Pohe,4,2,30,60,60,0,OnlinePaytm,Offline,-40
22-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Misal Pav,6,4,40,160,239,-79,Cash,Offline,-119
22-08-2024,Thursday,No,No,Cloudy,8AM - 2PM,Vada Pav,12,8,15,120,120,0,OnlinePaytm,Offline,-40
22-08-2024,Thursday,No,No,Cloudy,8AM - 2PM,Bhaji Pav,5,3,15,45,45,0,Cash,Offline,-40
22-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Pattice,2,1,15,15,15,0,Cash,Offline,-40
22-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Chai,10,6,6,36,36,0,OnlinePaytm,Offline,-40
22-08-2024,Thursday,No,No,Cloudy,8AM - 2PM,Bhaji Plate,2,1,20,20,20,0,OnlinePaytm,Offline,-40
22-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Vada Misal,3,2,50,100,100,0,Online,Swiggy,-40
22-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Usal Pav,7,4,35,140,196,-56,OnlinePaytm,Offline,-96
22-08-2024,Thursday,No,No,Sunny,8AM - 2PM,ButterMilk,4,2,15,30,30,0,Cash,Offline,-40
